id: 4, m: 1.0000, b: 9.7400
id: 977, m: 1.0000, b: 0.0600
id: 995, m: 1.0000, b: 2.4000
id: 997, m: 1.0000, b: 6.3300
id: 999, m: 1.0000, b: -0.3100
id: 1014, m: 1.0000, b: 1.2200
id: 1028, m: 1.0000, b: 9.6400
id: 1031, m: -1.0000, b: -1.6600
id: 1058, m: -1.0000, b: -5.6000
id: 1062, m: 1.0000, b: 3.0000
id: 1063, m: 1.0000, b: 6.0400
id: 1088, m: -1.0000, b: -1.9800
id: 1105, m: -1.0000, b: 6.4200
id: 1114, m: -1.0000, b: 6.4800
id: 1122, m: 1.0000, b: -8.3000
id: 1127, m: 1.0000, b: 2.3700
id: 1137, m: 1.0000, b: 0.0300
id: 1147, m: -1.0000, b: 1.8100
id: 1160, m: 1.0000, b: 7.6700
id: 1161, m: 1.0000, b: -8.7500
id: 1168, m: -1.0000, b: 4.0400
id: 1187, m: -1.0000, b: 1.4700
id: 1198, m: -1.0000, b: -4.8300
id: 1207, m: 1.0000, b: -7.4400
id: 1215, m: 1.0000, b: 4.0400
id: 1225, m: 1.0000, b: -4.6800
id: 1228, m: 1.0000, b: 8.9300
id: 1233, m: 1.0000, b: -1.4300
id: 1254, m: 1.0000, b: -0.7800
id: 1269, m: 1.0000, b: -7.1300
id: 1274, m: 1.0000, b: -6.5900
id: 1275, m: 1.0000, b: -2.0000
id: 1289, m: 1.0000, b: -9.2400
id: 1322, m: 1.0000, b: 3.3600
id: 1323, m: 1.0000, b: -7.3400
id: 1327, m: -1.0000, b: -2.4200
id: 1333, m: 1.0000, b: -1.6000
id: 1333, m: -1.0000, b: -5.4900
id: 1336, m: 1.0000, b: -8.3000
id: 1339, m: 1.0000, b: 8.4900
id: 1340, m: -1.0000, b: 6.9800
id: 1341, m: 1.0000, b: 4.4800
id: 1355, m: 1.0000, b: 0.2700
id: 1358, m: 1.0000, b: 0.8600
id: 1372, m: 1.0000, b: -0.2600
id: 1381, m: 1.0000, b: -2.3900
id: 1384, m: 1.0000, b: 8.5600
id: 1416, m: -1.0000, b: 1.3900
id: 1419, m: 1.0000, b: 6.7300
id: 1431, m: 1.0000, b: -9.0500
id: 1445, m: 1.0000, b: 6.4400
id: 1450, m: 1.0000, b: -1.8000
id: 1452, m: 1.0000, b: -7.4800
id: 1478, m: -1.0000, b: 2.0400
id: 1513, m: -1.0000, b: 9.5400
id: 1539, m: -1.0000, b: -6.7600
id: 1542, m: -1.0000, b: -4.6000
id: 1542, m: 1.0000, b: -9.5100
id: 1542, m: 1.0000, b: 7.8400
id: 1553, m: 1.0000, b: 8.4000
id: 1575, m: 1.0000, b: 9.3800
id: 1593, m: -1.0000, b: -9.7700
id: 1596, m: 1.0000, b: 1.6200
id: 1597, m: -1.0000, b: 9.8400
id: 1609, m: 1.0000, b: -1.2200
id: 1611, m: 1.0000, b: 0.1300
id: 1615, m: -1.0000, b: 4.9400
id: 1657, m: 1.0000, b: -3.7500
id: 1666, m: 1.0000, b: 8.1600
id: 1667, m: 1.0000, b: 8.0200
id: 1681, m: 1.0000, b: -2.0100
id: 1683, m: 1.0000, b: 5.6000
id: 1684, m: -1.0000, b: 6.8300
id: 1686, m: 1.0000, b: -8.5100
id: 1695, m: 1.0000, b: 7.4300
id: 1700, m: 1.0000, b: 7.6700
id: 1704, m: -1.0000, b: 2.8200
id: 1713, m: 1.0000, b: 0.4400
id: 1718, m: 1.0000, b: -7.5400
id: 1719, m: 1.0000, b: -6.4900
id: 1721, m: -1.0000, b: 2.5900
id: 1725, m: 1.0000, b: -7.8900
id: 1729, m: -1.0000, b: 2.0200
id: 1736, m: -1.0000, b: 9.7600
id: 1748, m: 1.0000, b: -4.5900
id: 1764, m: 1.0000, b: -8.4400
id: 1769, m: 1.0000, b: 2.3200
id: 1770, m: -1.0000, b: -0.7800
id: 1773, m: 1.0000, b: -1.4800
id: 1775, m: 1.0000, b: 0.9800
id: 1782, m: 1.0000, b: -4.4300
id: 1806, m: 1.0000, b: 2.8300
id: 1815, m: 1.0000, b: -9.9800
id: 1820, m: 1.0000, b: -9.3300
id: 1820, m: 1.0000, b: 3.6000
id: 1831, m: 1.0000, b: -1.7000
id: 1840, m: -1.0000, b: 8.7000
id: 1853, m: -1.0000, b: 6.1900
id: 1854, m: -1.0000, b: -7.9800
id: 1860, m: 1.0000, b: -7.5500
id: 1862, m: 1.0000, b: -3.6200
id: 1869, m: 1.0000, b: 3.9600
id: 1873, m: 1.0000, b: 2.3100
id: 1880, m: -1.0000, b: -7.1600
id: 1881, m: -1.0000, b: -6.3300
id: 1882, m: -1.0000, b: -1.5200
id: 1893, m: 1.0000, b: 1.7600
id: 1899, m: 1.0000, b: -0.1800
id: 1909, m: -1.0000, b: -6.7600
id: 1924, m: 1.0000, b: 2.2100
id: 1929, m: 1.0000, b: 6.8400
id: 1931, m: 1.0000, b: 6.6900
id: 1938, m: 1.0000, b: -6.9800
id: 1946, m: 1.0000, b: -5.1800
id: 1951, m: 1.0000, b: -0.9700
id: 1954, m: 1.0000, b: 0.7800
id: 1970, m: 1.0000, b: -2.2000
id: 1983, m: 1.0000, b: 3.1300
id: 1986, m: -1.0000, b: 3.3400
id: 1991, m: 1.0000, b: 3.2600
id: 2005, m: 1.0000, b: 0.2300
id: 2046, m: 1.0000, b: 7.6900
id: 2050, m: -1.0000, b: -0.0800
id: 2054, m: -1.0000, b: -3.1800
id: 2061, m: -1.0000, b: -1.1300
id: 2072, m: -1.0000, b: -7.2400
id: 2074, m: 1.0000, b: 9.8400
id: 2075, m: -1.0000, b: 8.2200
id: 2095, m: 1.0000, b: 4.2000
id: 2097, m: 1.0000, b: -8.7200
id: 2099, m: 1.0000, b: -7.5100
id: 2104, m: 1.0000, b: -0.4600
id: 2107, m: -1.0000, b: -2.2000
id: 2114, m: 1.0000, b: -0.8800
id: 2117, m: 1.0000, b: -3.4600
id: 2128, m: 1.0000, b: 8.6700
id: 2135, m: -1.0000, b: -9.7400
id: 2153, m: 1.0000, b: 8.5400
id: 2165, m: 1.0000, b: 2.6500
id: 2189, m: 1.0000, b: 0.0000
id: 2196, m: 1.0000, b: -2.4400
id: 2197, m: 1.0000, b: 6.8600
id: 2202, m: 1.0000, b: 1.6000
id: 2219, m: 1.0000, b: -5.4500
id: 2228, m: -1.0000, b: -6.0500
id: 2240, m: 1.0000, b: -2.3700
id: 2241, m: -1.0000, b: -6.1000
id: 2245, m: 1.0000, b: 6.8400
id: 2247, m: 1.0000, b: 7.5600
id: 2293, m: -1.0000, b: -1.3700
id: 2295, m: 1.0000, b: -8.0300
id: 2312, m: 1.0000, b: -9.2000
id: 2321, m: 1.0000, b: 3.8300
id: 2325, m: 1.0000, b: -8.9900
id: 2345, m: -1.0000, b: -4.0600
id: 2348, m: 1.0000, b: -0.5200
id: 2359, m: 1.0000, b: 3.9300
id: 2375, m: -1.0000, b: -9.2200
id: 2382, m: 1.0000, b: 4.3100
id: 2426, m: 1.0000, b: -3.7100
id: 2435, m: 1.0000, b: -7.1500
id: 2441, m: 1.0000, b: -4.0700
id: 2444, m: 1.0000, b: 3.9700
id: 2485, m: -1.0000, b: 2.5900
id: 2494, m: 1.0000, b: -1.4600
id: 2508, m: 1.0000, b: -9.2400
id: 2519, m: 1.0000, b: -1.3100
id: 2534, m: -1.0000, b: 9.1400
id: 2537, m: 1.0000, b: 9.8000
id: 2540, m: 1.0000, b: 6.5300
id: 2548, m: 1.0000, b: 5.9800
id: 2548, m: 1.0000, b: -9.6300
id: 2558, m: 1.0000, b: -2.9200
id: 2566, m: 1.0000, b: -0.7300
id: 2570, m: -1.0000, b: 8.6300
id: 2594, m: 1.0000, b: 5.0900
id: 2615, m: 1.0000, b: -6.8600
id: 2616, m: -1.0000, b: -4.8000
id: 2618, m: 1.0000, b: -9.2200
id: 2633, m: -1.0000, b: -9.7400
id: 2643, m: 1.0000, b: -1.4700
id: 2644, m: -1.0000, b: -6.2500
id: 2671, m: -1.0000, b: 4.3000
id: 2674, m: 1.0000, b: 1.4700
id: 2677, m: 1.0000, b: -5.8000
id: 2681, m: 1.0000, b: 8.7300
id: 2693, m: 1.0000, b: 3.8700
id: 2715, m: 1.0000, b: 0.0600
id: 2716, m: 1.0000, b: 2.1100
id: 2725, m: 1.0000, b: -8.3200
id: 2748, m: 1.0000, b: -0.5200
id: 2755, m: -1.0000, b: 0.7500
id: 2759, m: -1.0000, b: -8.9800
id: 2763, m: 1.0000, b: -8.1500
id: 2766, m: 1.0000, b: -3.5500
id: 2767, m: 1.0000, b: 7.1100
id: 2774, m: 1.0000, b: -6.9400
id: 2778, m: 1.0000, b: 1.6300
id: 2783, m: 1.0000, b: 1.1000
id: 2821, m: 1.0000, b: 4.9200
id: 2821, m: -1.0000, b: 5.9800
id: 2836, m: 1.0000, b: 2.8500
id: 2838, m: 1.0000, b: -9.1300
id: 2856, m: 1.0000, b: -4.7500
id: 2884, m: -1.0000, b: -2.8900
id: 2895, m: -1.0000, b: 0.2800
id: 2897, m: 1.0000, b: -1.0800
id: 2898, m: 1.0000, b: 1.5500
id: 2899, m: 1.0000, b: -3.3400
id: 2907, m: 1.0000, b: 3.0000
id: 2915, m: 1.0000, b: -6.1700
id: 2928, m: 1.0000, b: 3.3600
id: 2945, m: 1.0000, b: 7.8100
id: 2952, m: 1.0000, b: 4.4200
id: 2953, m: 1.0000, b: -7.3800
id: 2986, m: -1.0000, b: -7.3600
id: 3002, m: 1.0000, b: 9.3700
id: 3004, m: 1.0000, b: -5.1700
id: 3022, m: -1.0000, b: -8.2300
id: 3029, m: -1.0000, b: 4.3000
id: 3031, m: 1.0000, b: 6.0900
id: 3043, m: 1.0000, b: 9.0100
id: 3047, m: 1.0000, b: 9.6900
id: 3057, m: 1.0000, b: 1.6500
id: 3067, m: 1.0000, b: 4.9400
id: 3068, m: 1.0000, b: 6.0300
id: 3068, m: 1.0000, b: 5.7700
id: 3070, m: 1.0000, b: 3.2800
id: 3087, m: 1.0000, b: 8.7500
id: 3109, m: 1.0000, b: -8.0100
id: 3116, m: 1.0000, b: 8.5700
id: 3116, m: 1.0000, b: 9.6500
id: 3117, m: 1.0000, b: -8.8200
id: 3124, m: 1.0000, b: -8.2400
id: 3134, m: 1.0000, b: -3.7100
id: 3138, m: 1.0000, b: 1.8000
id: 3149, m: 1.0000, b: 3.7600
id: 3160, m: -1.0000, b: -7.6400
id: 3174, m: 1.0000, b: 6.9400
id: 3177, m: 1.0000, b: 0.5600
id: 3243, m: 1.0000, b: -6.3800
id: 3251, m: 1.0000, b: -0.6300
id: 3263, m: 1.0000, b: -3.0200
id: 3294, m: 1.0000, b: -0.1600
id: 3305, m: 1.0000, b: -3.1400
id: 3307, m: 1.0000, b: -7.9800
id: 3313, m: 1.0000, b: 7.8900
id: 3355, m: 1.0000, b: -2.5100
id: 3360, m: 1.0000, b: -4.9200
id: 3371, m: 1.0000, b: 5.6700
id: 3374, m: 1.0000, b: 3.8300
id: 3375, m: 1.0000, b: -3.0200
id: 3381, m: -1.0000, b: -6.5000
id: 3389, m: 1.0000, b: -0.9300
id: 3407, m: 1.0000, b: 7.0400
id: 3422, m: 1.0000, b: 2.1100
id: 3422, m: -1.0000, b: -9.7800
id: 3436, m: 1.0000, b: -3.4900
id: 3466, m: -1.0000, b: 6.1600
id: 3468, m: 1.0000, b: -4.1700
id: 3486, m: 1.0000, b: -8.2600
id: 3494, m: 1.0000, b: 3.4700
id: 3525, m: -1.0000, b: 1.9400
id: 3555, m: 1.0000, b: 8.4200
id: 3565, m: -1.0000, b: -5.3900
id: 3578, m: 1.0000, b: -0.9500
id: 3591, m: 1.0000, b: 4.1600
id: 3599, m: 1.0000, b: -2.0800
id: 3627, m: 1.0000, b: 9.3000
id: 3631, m: 1.0000, b: -6.7000
id: 3632, m: 1.0000, b: 6.6100
id: 3648, m: 1.0000, b: 8.9000
id: 3667, m: -1.0000, b: 8.1700
id: 3674, m: 1.0000, b: 5.6000
id: 3680, m: 1.0000, b: -2.1800
id: 3683, m: 1.0000, b: 2.5700
id: 3684, m: 1.0000, b: 5.4100
id: 3689, m: 1.0000, b: 1.1100
id: 3702, m: 1.0000, b: 1.2500
id: 3724, m: 1.0000, b: -7.9600
id: 3735, m: 1.0000, b: -8.6500
id: 3750, m: 1.0000, b: 1.4100
id: 3775, m: 1.0000, b: 5.5400
id: 3779, m: 1.0000, b: -4.4800
id: 3780, m: 1.0000, b: -7.0000
id: 3785, m: 1.0000, b: 5.5800
id: 3803, m: 1.0000, b: -5.4700
id: 3806, m: 1.0000, b: 4.1700
id: 3814, m: 1.0000, b: -7.1000
id: 3817, m: 1.0000, b: 6.8900
id: 3818, m: 1.0000, b: -3.0900
id: 3852, m: 1.0000, b: 7.1300
id: 3860, m: 1.0000, b: 6.1900
id: 3866, m: 1.0000, b: -3.9200
id: 3872, m: 1.0000, b: 0.1300
id: 3875, m: 1.0000, b: -5.6200
id: 3900, m: 1.0000, b: -8.9000
id: 3901, m: 1.0000, b: 6.9000
id: 3905, m: -1.0000, b: 0.8500
id: 3920, m: 1.0000, b: -0.5700
id: 3925, m: 1.0000, b: -9.5400
id: 3930, m: 1.0000, b: 0.1800
id: 3957, m: 1.0000, b: -3.9800
id: 3963, m: 1.0000, b: -4.2600
id: 3965, m: -1.0000, b: 8.2400
id: 3978, m: 1.0000, b: -9.0100
id: 3981, m: 1.0000, b: 4.3100
id: 3987, m: -1.0000, b: 1.3400
id: 3992, m: 1.0000, b: -6.7600
id: 3999, m: 1.0000, b: 5.3500
